text,label
人工智能改变了世界,Technology
深度学习是AI的核心,Technology
Python是最好的编程语言,Technology
显卡涨价了因为挖矿,Technology
新的手机发布了像素很高,Technology
程序员需要不断学习,Technology
黑客攻击了服务器,Technology
云计算降低了企业成本,Technology
5G网络速度很快,Technology
量子计算机将带来革命,Technology
湖人队赢得了比赛,Sports
足球世界杯每四年一次,Sports
姚明是著名的篮球运动员,Sports
马拉松需要很强的耐力,Sports
奥运会将在巴黎举办,Sports
他打破了世界纪录,Sports
网球比赛非常激烈,Sports
游泳有益于心肺健康,Sports
裁判吹了犯规,Sports
滑雪是一项极限运动,Sports
股票市场今天大跌,Finance
通货膨胀率上升了,Finance
银行提高了贷款利率,Finance
投资理财需要谨慎,Finance
比特币价格波动很大,Finance
房地产市场正在降温,Finance
公司发布了季度财报,Finance
税务局正在查税,Finance
基金经理管理着大量资产,Finance
国际贸易受到关税影响,Finance
